Index,Entry,Location,Category,Label
0,P62258,Nucleus,Nucleus,5
1,P61981,Cytoplasm,Cytoplasm,4
2,P31947,Cytoplasm,Cytoplasm,4
3,P63104,Cytoplasm,Cytoplasm,4
4,P30443,Membrane,Membrane,9
5,Q16537,Cytoplasm,Cytoplasm,4
6,Q30167,Cell membrane,Cell membrane,2
7,Q95IE3,Cell membrane,Cell membrane,2
8,Q5Y7A7,Cell membrane,Cell membrane,2
9,P46952,Cytoplasm,Cytoplasm,4
10,P30542,Cell membrane,Cell membrane,2
11,Q9NRG9,Nucleus,Nucleus,5
12,Q2M2I8,Cell membrane,Cell membrane,2
15,Q9UNQ0,Cell membrane,Cell membrane,2
16,Q9H222,Cell membrane,Cell membrane,2
17,Q8N2K0,Membrane,Membrane,9
18,Q8IZP0,Cytoplasm,Cytoplasm,4
19,P49748,Mitochondrion inner membrane,Mitochondrion,8
20,Q86TX2,Cytoplasm,Cytoplasm,4
21,P68032,Cytoplasm,Cytoplasm,4
22,P63267,Cytoplasm,Cytoplasm,4
24,Q04771,Membrane,Membrane,9
25,Q03154,Cytoplasm,Cytoplasm,4
26,P31937,Mitochondrion,Mitochondrion,8
27,Q9NS82,Membrane,Membrane,9
28,Q9H172,Membrane,Membrane,9
30,Q9BR61,Cytoplasm,Cytoplasm,4
31,Q05901,Cell junction,Cell junction,3
32,Q6NUN0,Mitochondrion matrix,Mitochondrion,8
33,Q9BYX7,Cytoplasm,Cytoplasm,4
35,O43184,Cell membrane,Cell membrane,2
37,P18089,Cell membrane,Cell membrane,2
38,Q9BZ11,Membrane,Membrane,9
43,Q86TW2,Secreted,Secreted,6
44,Q8NFM4,Cell membrane,Cell membrane,2
45,P40145,Membrane,Membrane,9
46,Q96PN6,Cell membrane,Cell membrane,2
47,P08319,Cytoplasm,Cytoplasm,4
48,P11766,Cytoplasm,Cytoplasm,4
49,Q15848,Secreted,Secreted,6
50,P35318,Secreted,Secreted,6
51,P43652,Secreted,Secreted,6
52,Q8N556,Cytoplasm,Cytoplasm,4
54,P51825,Nucleus,Nucleus,5
55,Q9Y4W6,Mitochondrion,Mitochondrion,8
57,P55087,Membrane,Membrane,9
59,Q13520,Cytoplasmic vesicle membrane,Cytoplasm,4
60,A6NL99,Membrane,Membrane,9
61,O14520,Membrane,Membrane,9
62,Q66PJ3,Nucleus,Nucleus,5
63,Q96P48,Cytoplasm,Cytoplasm,4
64,Q92974,Cytoplasm,Cytoplasm,4
65,Q12774,Cytoplasm,Cytoplasm,4
67,Q6ZSZ5,Cytoplasm,Cytoplasm,4
68,Q96DR7,Cell projection,Cell projection,1
69,Q9NX46,Cytoplasm,Cytoplasm,4
70,Q14865,Nucleus,Nucleus,5
72,P56559,Cell projection,Cell projection,1
77,Q96C12,Cytoplasm,Cytoplasm,4
78,Q9P291,Mitochondrion,Mitochondrion,8
79,P27540,Nucleus,Nucleus,5
80,Q9NR71,Cell membrane,Cell membrane,2
81,Q9ULH1,Cytoplasm,Cytoplasm,4
89,Q9H765,Cytoplasm,Cytoplasm,4
90,Q96DX5,Mitochondrion,Mitochondrion,8
91,P50553,Nucleus,Nucleus,5
92,P78348,Cell membrane,Cell membrane,2
93,Q16515,Cell membrane,Cell membrane,2
94,Q12797,Endoplasmic reticulum membrane,Endoplasmic reticulum membrane,0
95,Q96KQ4,Cytoplasm,Cytoplasm,4
96,Q13625,Cytoplasm,Cytoplasm,4
97,P26436,Cytoplasmic vesicle,Cytoplasm,4
98,L0R819,Cytoplasm,Cytoplasm,4
99,Q9C0F0,Nucleus,Nucleus,5
100,O60312,Cell membrane,Cell membrane,2
101,O94823,Cytoplasmic vesicle membrane,Cytoplasm,4
102,Q8NB49,Cell membrane,Cell membrane,2
103,Q9H7F0,Membrane,Membrane,9
104,Q4VNC0,Membrane,Membrane,9
105,Q13733,Cell membrane,Cell membrane,2
106,P05026,Cell membrane,Cell membrane,2
107,O14983,Endoplasmic reticulum membrane,Endoplasmic reticulum membrane,0
108,P20020,Cell membrane,Cell membrane,2
109,O75185,Membrane,Membrane,9
110,Q5VTU8,Mitochondrion,Mitochondrion,8
111,Q9Y2Q0,Cytoplasmic vesicle,Cytoplasm,4
112,Q9NTI2,Membrane,Membrane,9
113,O43520,Cell membrane,Cell membrane,2
116,Q5FYB0,Secreted,Secreted,6
117,Q6UWY0,Secreted,Secreted,6
118,Q96QS3,Nucleus,Nucleus,5
119,Q9HBK9,Cytoplasm,Cytoplasm,4
121,Q9H1I8,Nucleus,Nucleus,5
123,Q86WG3,Cell projection,Cell projection,1
124,Q9ULI0,Nucleus,Nucleus,5
125,P18846,Nucleus,Nucleus,5
127,Q86TL0,Cytoplasm,Cytoplasm,4
128,O75947,Mitochondrion,Mitochondrion,8
129,Q9UNA0,Secreted,Secreted,6
130,Q9UKP4,Secreted,Secreted,6
131,Q9UBB4,Cytoplasm,Cytoplasm,4
132,Q156A1,Nucleus,Nucleus,5
133,Q9Y679,Endoplasmic reticulum membrane,Endoplasmic reticulum membrane,0
134,Q92843,Mitochondrion membrane,Mitochondrion,8
143,Q9H981,Nucleus,Nucleus,5
145,Q8N9N2,Nucleus,Nucleus,5
146,Q9NR48,Nucleus,Nucleus,5
148,Q6UY14,Secreted,Secreted,6
149,Q8NHH9,Endoplasmic reticulum membrane,Endoplasmic reticulum membrane,0
150,P51164,Cell membrane,Cell membrane,2
151,Q8N5M1,Mitochondrion,Mitochondrion,8
152,P58397,Secreted,Secreted,6
153,Q8TE57,Secreted,Secreted,6
154,Q8TE59,Secreted,Secreted,6
155,Q9UKP5,Secreted,Secreted,6
156,Q9UP79,Secreted,Secreted,6
160,Q06055,Mitochondrion membrane,Mitochondrion,8
161,Q9H0Y0,Cytoplasm,Cytoplasm,4
162,O94817,Cytoplasm,Cytoplasm,4
163,Q96DT6,Cytoplasm,Cytoplasm,4
164,Q9H1Y0,Cytoplasm,Cytoplasm,4
165,P56385,Mitochondrion,Mitochondrion,8
166,P00846,Mitochondrion inner membrane,Mitochondrion,8
167,Q9NVP2,Nucleus,Nucleus,5
168,P07306,Membrane,Membrane,9
169,Q9UHC3,Cell membrane,Cell membrane,2
170,P42127,Secreted,Secreted,6
172,Q6ICH7,Membrane,Membrane,9
173,Q9UN42,Nucleus inner membrane,Nucleus,5
174,Q16720,Cell membrane,Cell membrane,2
175,P03928,Mitochondrion membrane,Mitochondrion,8
177,P48201,Mitochondrion membrane,Mitochondrion,8
178,P98198,Cell membrane,Cell membrane,2
179,Q8TF62,Cell membrane,Cell membrane,2
182,Q5T9A4,Mitochondrion inner membrane,Mitochondrion,8
183,P18850,Nucleus,Nucleus,5
184,O75143,Cytoplasm,Cytoplasm,4
186,Q9NT62,Cytoplasm,Cytoplasm,4
188,P18859,Mitochondrion,Mitochondrion,8
189,Q99766,Mitochondrion,Mitochondrion,8
190,Q04656,Cytoplasm,Cytoplasm,4
193,O43521,Mitochondrion,Mitochondrion,8
194,Q14032,Cytoplasm,Cytoplasm,4
195,Q9H3F6,Nucleus,Nucleus,5
196,Q9Y5Z0,Membrane,Membrane,9
197,O75531,Nucleus,Nucleus,5
198,Q99933,Nucleus,Nucleus,5
199,Q8WY36,Nucleus,Nucleus,5
200,Q9C0K0,Nucleus,Nucleus,5
201,Q8TDM0,Cytoplasm,Cytoplasm,4
202,P10415,Mitochondrion outer membrane,Mitochondrion,8
204,Q86UU0,Nucleus,Nucleus,5
205,Q8NFU0,Cell membrane,Cell membrane,2
206,Q9HBH7,Nucleus,Nucleus,5
207,P30049,Mitochondrion,Mitochondrion,8
208,P48047,Mitochondrion,Mitochondrion,8
209,O75882,Cell membrane,Cell membrane,2
211,Q13705,Cell membrane,Cell membrane,2
212,Q58HT5,Endoplasmic reticulum membrane,Endoplasmic reticulum membrane,0
213,O14977,Nucleus,Nucleus,5
217,Q6Y288,Endoplasmic reticulum membrane,Endoplasmic reticulum membrane,0
223,Q9NXR7,Cytoplasm,Cytoplasm,4
224,P56817,Membrane,Membrane,9
225,Q92934,Mitochondrion outer membrane,Mitochondrion,8
226,Q86Y27,Secreted,Secreted,6
227,Q9NR55,Nucleus,Nucleus,5
228,Q9UIG0,Nucleus,Nucleus,5
229,Q9UIF9,Nucleus,Nucleus,5
230,Q6ZW61,Cell projection,Cell projection,1
234,O14874,Mitochondrion matrix,Mitochondrion,8
235,P20749,Nucleus,Nucleus,5
236,P41182,Nucleus,Nucleus,5
240,P07307,Membrane,Membrane,9
241,Q9UBL3,Nucleus,Nucleus,5
243,Q9Y284,Membrane,Membrane,9
244,Q6HA08,Cytoplasm,Cytoplasm,4
245,O75129,Membrane,Membrane,9
246,Q76L83,Nucleus,Nucleus,5
247,Q8WWH4,Cytoplasm,Cytoplasm,4
248,Q9P241,Cell membrane,Cell membrane,2
249,Q9HD20,Endoplasmic reticulum membrane,Endoplasmic reticulum membrane,0
250,P54709,Cell membrane,Cell membrane,2
251,P16615,Endoplasmic reticulum membrane,Endoplasmic reticulum membrane,0
252,Q93084,Nucleus membrane,Nucleus,5
254,Q8TBG4,Mitochondrion,Mitochondrion,8
255,Q8IUZ5,Mitochondrion,Mitochondrion,8
256,Q9BSB4,Cytoplasm,Cytoplasm,4
257,Q6ZMM2,Secreted,Secreted,6
258,Q6DD88,Endoplasmic reticulum membrane,Endoplasmic reticulum membrane,0
259,P54259,Nucleus,Nucleus,5
260,Q92858,Nucleus,Nucleus,5
261,O75964,Mitochondrion,Mitochondrion,8
262,P06576,Mitochondrion,Mitochondrion,8
263,O15511,Cytoplasm,Cytoplasm,4
264,P49407,Cytoplasm,Cytoplasm,4
265,Q8N5I2,Cell membrane,Cell membrane,2
266,Q96B67,Cytoplasm,Cytoplasm,4
269,O43150,Cytoplasm,Cytoplasm,4
270,Q8TDY4,Cytoplasm,Cytoplasm,4
273,Q7RTU5,Nucleus,Nucleus,5
274,Q9ULZ3,Cytoplasm,Cytoplasm,4
275,Q9NY37,Cell membrane,Cell membrane,2
277,O14525,Cell membrane,Cell membrane,2
278,P98196,Cell membrane,Cell membrane,2
280,Q9NQ11,Membrane,Membrane,9
281,P05496,Mitochondrion membrane,Mitochondrion,8
282,P0DMR3,Cytoplasm,Cytoplasm,4
283,Q9Y2D1,Cytoplasm,Cytoplasm,4
284,P17544,Cytoplasm,Cytoplasm,4
285,Q8N6G6,Secreted,Secreted,6
286,P82987,Secreted,Secreted,6
287,O95352,Cytoplasm,Cytoplasm,4
288,P54710,Membrane,Membrane,9
289,Q8N100,Nucleus,Nucleus,5
290,Q96SQ7,Nucleus,Nucleus,5
291,P20648,Cell membrane,Cell membrane,2
292,P56381,Mitochondrion,Mitochondrion,8
293,Q5VV63,Membrane,Membrane,9
294,P46100,Nucleus,Nucleus,5
295,Q13535,Nucleus,Nucleus,5
296,Q76LX8,Secreted,Secreted,6
297,Q8TE56,Secreted,Secreted,6
298,Q9UHI8,Secreted,Secreted,6
299,P59510,Secreted,Secreted,6
300,O15072,Secreted,Secreted,6
301,O75173,Secreted,Secreted,6
302,Q8WWM7,Membrane,Membrane,9
303,Q9H3M9,Nucleus,Nucleus,5
304,P54252,Nucleus matrix,Nucleus,5
305,Q6E213,Endoplasmic reticulum membrane,Endoplasmic reticulum membrane,0
306,A6NMY6,Secreted,Secreted,6
308,Q9Y2T1,Cytoplasm,Cytoplasm,4
309,Q13072,Secreted,Secreted,6
310,Q9HBU1,Nucleus,Nucleus,5
311,Q6PL18,Nucleus,Nucleus,5
312,Q96QE3,Nucleus,Nucleus,5
313,P18847,Nucleus,Nucleus,5
314,P18848,Cytoplasm,Cytoplasm,4
315,Q8WYN0,Cytoplasm,Cytoplasm,4
316,Q9Y4P1,Cytoplasm,Cytoplasm,4
317,Q674R7,Cytoplasmic vesicle,Cytoplasm,4
318,Q6RW13,Endoplasmic reticulum membrane,Endoplasmic reticulum membrane,0
319,Q9H324,Secreted,Secreted,6
320,Q8TE58,Secreted,Secreted,6
321,Q8TE60,Secreted,Secreted,6
322,Q99700,Cytoplasm,Cytoplasm,4
323,Q13825,Mitochondrion,Mitochondrion,8
326,P27037,Membrane,Membrane,9
327,P36542,Mitochondrion,Mitochondrion,8
329,Q8WXS8,Secreted,Secreted,6
330,O95450,Secreted,Secreted,6
331,Q9P2N4,Secreted,Secreted,6
332,Q9UQB9,Nucleus,Nucleus,5
333,Q8WXX7,Nucleus,Nucleus,5
334,O15169,Cytoplasm,Cytoplasm,4
338,Q6ZUV0,Cytoplasm,Cytoplasm,4
340,Q86Y28,Secreted,Secreted,6
342,Q8N1L9,Nucleus,Nucleus,5
343,Q07812,Mitochondrion membrane,Mitochondrion,8
344,Q02338,Mitochondrion inner membrane,Mitochondrion,8
345,Q9BUH8,Cytoplasm,Cytoplasm,4
347,Q6ZT62,Cell membrane,Cell membrane,2
349,Q8NDY6,Nucleus,Nucleus,5
350,O14503,Cytoplasm,Cytoplasm,4
351,Q9UHR4,Cytoplasm,Cytoplasm,4
352,Q9H694,Cytoplasm,Cytoplasm,4
354,Q5TH69,Cytoplasm,Cytoplasm,4
355,Q9UBW5,Cytoplasm,Cytoplasm,4
356,Q5TC12,Mitochondrion,Mitochondrion,8
357,P0C7T5,Nucleus,Nucleus,5
358,O15265,Nucleus,Nucleus,5
359,Q9H6S1,Cytoplasm,Cytoplasm,4
360,Q96A70,Nucleus,Nucleus,5
361,Q9HD36,Mitochondrion,Mitochondrion,8
362,Q9BZR8,Cytoplasm,Cytoplasm,4
363,P61769,Secreted,Secreted,6
369,O14867,Nucleus,Nucleus,5
370,O95817,Nucleus,Nucleus,5
371,Q86Y30,Secreted,Secreted,6
372,Q16611,Mitochondrion membrane,Mitochondrion,8
373,Q99728,Nucleus,Nucleus,5
374,O00512,Nucleus,Nucleus,5
376,O76090,Cell membrane,Cell membrane,2
377,O15155,Endoplasmic reticulum membrane,Endoplasmic reticulum membrane,0
378,Q5H9J7,Cytoplasm,Cytoplasm,4
379,Q9NZS9,Endoplasmic reticulum membrane,Endoplasmic reticulum membrane,0
380,Q7RTS1,Nucleus,Nucleus,5
381,Q9C0J9,Nucleus,Nucleus,5
383,Q6ZP65,Cytoplasm,Cytoplasm,4
385,P55957,Mitochondrion membrane,Mitochondrion,8
386,Q8WXE1,Nucleus,Nucleus,5
387,P54253,Cytoplasm,Cytoplasm,4
388,Q9H7T9,Nucleus,Nucleus,5
389,Q96PG8,Mitochondrion,Mitochondrion,8
390,Q9BXH1,Mitochondrion,Mitochondrion,8
392,Q8N143,Nucleus,Nucleus,5
393,Q5H9F3,Nucleus,Nucleus,5
395,A8MW95,Cytoplasm,Cytoplasm,4
399,Q13490,Cytoplasm,Cytoplasm,4
401,P36894,Membrane,Membrane,9
402,Q96IK1,Cytoplasm,Cytoplasm,4
403,O75936,Cytoplasm,Cytoplasm,4
404,Q14137,Nucleus,Nucleus,5
407,Q53HL2,Nucleus,Nucleus,5
409,P59827,Secreted,Secreted,6
410,Q12830,Cytoplasm,Cytoplasm,4
411,P25440,Nucleus,Nucleus,5
412,O60885,Nucleus,Nucleus,5
413,Q5VTR2,Nucleus,Nucleus,5
414,Q9HAW0,Nucleus,Nucleus,5
416,P04920,Membrane,Membrane,9
418,Q9BPU9,Cytoplasm,Cytoplasm,4
419,Q8WXS3,Cytoplasm,Cytoplasm,4
420,P46379,Cytoplasm,Cytoplasm,4
421,Q8TBE0,Nucleus,Nucleus,5
422,Q9UQB8,Cytoplasm,Cytoplasm,4
423,Q8IXM2,Nucleus,Nucleus,5
424,Q92560,Cytoplasm,Cytoplasm,4
425,Q9NRL2,Nucleus,Nucleus,5
426,A8MTZ0,Cell projection,Cell projection,1
427,Q8TAM1,Cell projection,Cell projection,1
428,O75363,Cytoplasm,Cytoplasm,4
429,Q9H6U6,Nucleus,Nucleus,5
430,P54687,Cytoplasm,Cytoplasm,4
432,A2AJT9,Mitochondrion,Mitochondrion,8
433,Q9NYF8,Cytoplasm,Cytoplasm,4
434,P11274,Cell junction,Cell junction,3
435,Q8IYS8,Cytoplasm,Cytoplasm,4
436,P55061,Endoplasmic reticulum membrane,Endoplasmic reticulum membrane,0
437,Q9Y6D6,Cytoplasm,Cytoplasm,4
438,O00499,Nucleus,Nucleus,5
439,Q6QNY0,Cytoplasm,Cytoplasm,4
440,Q9UL45,Cytoplasm,Cytoplasm,4
441,P62952,Membrane,Membrane,9
443,P54132,Nucleus,Nucleus,5
445,O95972,Secreted,Secreted,6
446,P12643,Secreted,Secreted,6
449,Q8N4F0,Secreted,Secreted,6
450,Q8NFQ5,Secreted,Secreted,6
451,P38398,Cytoplasm,Cytoplasm,4
452,Q6PL45,Membrane,Membrane,9
453,Q8TDC3,Cytoplasm,Cytoplasm,4
455,Q8TDN6,Nucleus,Nucleus,5
456,Q3C1V8,Nucleus,Nucleus,5
458,O14981,Nucleus,Nucleus,5
459,Q9BX70,Cytoplasm,Cytoplasm,4
462,Q6UXE8,Membrane,Membrane,9
463,O75366,Cytoplasm,Cytoplasm,4
466,Q8WZ19,Nucleus,Nucleus,5
467,Q9BYV9,Cytoplasm,Cytoplasm,4
468,Q86Y29,Secreted,Secreted,6
470,Q6ZNE5,Cytoplasm,Cytoplasm,4
471,P51572,Endoplasmic reticulum membrane,Endoplasmic reticulum membrane,0
472,Q9BZE3,Nucleus,Nucleus,5
473,P35613,Cell membrane,Cell membrane,2
474,P80723,Cell membrane,Cell membrane,2
475,Q9UIF8,Nucleus,Nucleus,5
476,Q8NFJ9,Cell projection,Cell projection,1
477,Q8N3I7,Cell projection,Cell projection,1
478,Q8IWZ6,Cell projection,Cell projection,1
479,Q9H165,Cytoplasm,Cytoplasm,4
480,O15382,Mitochondrion,Mitochondrion,8
481,Q9P287,Cytoplasm,Cytoplasm,4
483,Q9BUT1,Cytoplasm,Cytoplasm,4
484,Q9BXY8,Cytoplasm,Cytoplasm,4
485,Q00994,Nucleus,Nucleus,5
486,C9JSJ3,Nucleus,Nucleus,5
487,Q6UXY1,Cell membrane,Cell membrane,2
488,Q13489,Cytoplasm,Cytoplasm,4
489,O15392,Cytoplasm,Cytoplasm,4
490,Q8WV28,Cytoplasm,Cytoplasm,4
491,Q9BXK5,Mitochondrion membrane,Mitochondrion,8
492,Q16548,Cytoplasm,Cytoplasm,4
493,P48751,Membrane,Membrane,9
494,Q96Q91,Membrane,Membrane,9
495,P02730,Cell membrane,Cell membrane,2
500,Q9UPM9,Cytoplasm,Cytoplasm,4
501,Q9NWV8,Cytoplasm,Cytoplasm,4
502,Q9H503,Nucleus,Nucleus,5
504,Q13145,Membrane,Membrane,9
506,Q8N9N5,Nucleus,Nucleus,5
507,Q9UHQ4,Endoplasmic reticulum membrane,Endoplasmic reticulum membrane,0
508,Q9NY43,Nucleus,Nucleus,5
509,Q9UMQ3,Nucleus,Nucleus,5
510,Q16520,Nucleus,Nucleus,5
511,Q96RK4,Cytoplasm,Cytoplasm,4
512,P50895,Membrane,Membrane,9
513,Q6ZUJ8,Cytoplasm,Cytoplasm,4
514,P56945,Cell junction,Cell junction,3
515,Q9BYV7,Mitochondrion,Mitochondrion,8
516,O95999,Cytoplasm,Cytoplasm,4
518,P23560,Secreted,Secreted,6
519,Q14457,Mitochondrion,Mitochondrion,8
520,Q5SZJ8,Nucleus,Nucleus,5
521,Q8NFU1,Cell membrane,Cell membrane,2
522,Q8N1M1,Cell membrane,Cell membrane,2
524,P53004,Cytoplasm,Cytoplasm,4
525,Q96P09,Cytoplasm,Cytoplasm,4
527,Q8IZY5,Cytoplasm,Cytoplasm,4
528,P51451,Cell membrane,Cell membrane,2
529,Q13867,Cytoplasm,Cytoplasm,4
531,P51813,Cytoplasm,Cytoplasm,4
532,Q9BWV1,Cell membrane,Cell membrane,2
533,P56134,Mitochondrion,Mitochondrion,8
534,Q9H1Z8,Secreted,Secreted,6
535,O14965,Cytoplasm,Cytoplasm,4
536,Q96GD4,Nucleus,Nucleus,5
537,Q07817,Mitochondrion inner membrane,Mitochondrion,8
544,Q13829,Cytoplasm,Cytoplasm,4
545,O00154,Cytoplasm,Cytoplasm,4
547,O95429,Cytoplasm,Cytoplasm,4
548,Q8ND07,Cytoplasm,Cytoplasm,4
549,Q9BXC9,Cell projection,Cell projection,1
551,Q6W2J9,Nucleus,Nucleus,5
552,Q9Y276,Mitochondrion inner membrane,Mitochondrion,8
553,A6H8Y1,Nucleus,Nucleus,5
554,Q3B7T3,Membrane,Membrane,9
556,Q5T5X7,Nucleus,Nucleus,5
557,Q9NWD9,Cytoplasm,Cytoplasm,4
558,Q12934,Cell membrane,Cell membrane,2
559,Q13515,Cell membrane,Cell membrane,2
562,Q15582,Secreted,Secreted,6
564,Q8NFJ8,Nucleus,Nucleus,5
565,P30043,Cytoplasm,Cytoplasm,4
566,P12644,Secreted,Secreted,6
568,Q5VWW1,Secreted,Secreted,6
569,Q9NPY3,Membrane,Membrane,9
570,Q9BXJ1,Secreted,Secreted,6
571,Q9BXJ4,Secreted,Secreted,6
572,Q9BXJ2,Secreted,Secreted,6
573,P00736,Secreted,Secreted,6
574,P0C862,Secreted,Secreted,6
575,Q9NUP1,Cytoplasm,Cytoplasm,4
577,O95393,Secreted,Secreted,6
578,P22003,Secreted,Secreted,6
579,Q8N8U9,Secreted,Secreted,6
580,P18075,Secreted,Secreted,6
581,O00238,Cell membrane,Cell membrane,2
582,Q14692,Nucleus,Nucleus,5
583,Q01954,Nucleus,Nucleus,5
584,Q6ZN30,Nucleus,Nucleus,5
585,O60238,Nucleus envelope,Nucleus,5
587,Q9UMX3,Mitochondrion membrane,Mitochondrion,8
591,P46736,Nucleus,Nucleus,5
592,O95696,Nucleus,Nucleus,5
593,Q15059,Nucleus,Nucleus,5
594,Q9NPI1,Nucleus,Nucleus,5
596,O75150,Nucleus,Nucleus,5
597,Q9C0B6,Secreted,Secreted,6
598,Q5VW32,Membrane,Membrane,9
599,P55201,Nucleus,Nucleus,5
601,Q5W0U4,Cytoplasm,Cytoplasm,4
602,Q8WVV5,Membrane,Membrane,9
603,O00481,Cell membrane,Cell membrane,2
604,Q9UIR0,Membrane,Membrane,9
605,A8MVZ5,Membrane,Membrane,9
606,O43684,Nucleus,Nucleus,5
608,Q86VB7,Secreted,Secreted,6
609,Q9Y4F5,Cytoplasm,Cytoplasm,4
610,P02747,Secreted,Secreted,6
611,O75973,Secreted,Secreted,6
